river,source_field,raw_value
Yukon,dis_m3_pmx_mean,1200.600341796875
Yukon,run_mm_syr_mean,266.17210682492583
Yukon,inu_pc_smn_mean,3.878338278931751
Yukon,inu_pc_umn_mean,1.4510385756676558
Yukon,inu_pc_smx_mean,4.344213649851632
Yukon,inu_pc_umx_mean,1.599406528189911
Yukon,inu_pc_slt_mean,10.136498516320474
Yukon,inu_pc_ult_mean,4.928783382789318
Yukon,lka_pc_sse_mean,15.498516320474778
Yukon,lka_pc_use_mean,12.908011869436201
Yukon,lkv_mc_usu_mean,30683.311572700295
Yukon,rev_mc_usu_mean,27.522255192878337
Yukon,dor_pc_pva_mean,1.2195845697329377
Yukon,ria_ha_ssu_mean,986.4163818359375
Yukon,ria_ha_usu_mean,23447.673828125
Yukon,riv_tc_ssu_mean,34397.69140625
Yukon,riv_tc_usu_mean,614872.0
Yukon,gwt_cm_sav_mean,205.7299703264095
Yukon,ele_mt_sav_mean,668.4005934718101
Yukon,ele_mt_uav_mean,859.7922848664689
Yukon,ele_mt_smn_mean,292.4005934718101
Yukon,ele_mt_smx_mean,1520.5222551928784
Yukon,slp_dg_sav_mean,92.58456973293768
Yukon,slp_dg_uav_mean,111.56676557863501
Yukon,sgr_dk_sav_mean,177.97626112759644
Yukon,sample_columns,"['HYBAS_ID', 'NEXT_DOWN', 'NEXT_SINK', 'MAIN_BAS', 'DIST_SINK', 'DIST_MAIN', 'SUB_AREA', 'UP_AREA', 'PFAF_ID', 'ENDO', 'COAST', 'ORDER_', 'SORT', 'dis_m3_pyr', 'dis_m3_pmn', 'dis_m3_pmx', 'run_mm_syr', 'inu_pc_smn', 'inu_pc_umn', 'inu_pc_smx', 'inu_pc_umx', 'inu_pc_slt', 'inu_pc_ult', 'lka_pc_sse', 'lka_pc_use', 'lkv_mc_usu', 'rev_mc_usu', 'dor_pc_pva', 'ria_ha_ssu', 'ria_ha_usu', 'riv_tc_ssu', 'riv_tc_usu', 'gwt_cm_sav', 'ele_mt_sav', 'ele_mt_uav', 'ele_mt_smn', 'ele_mt_smx', 'slp_dg_sav', 'slp_dg_uav', 'sgr_dk_sav']"
Mackenzie,rows_matched,805
Mackenzie,columns_available,121
Mackenzie,HYBAS_ID_mean,8070270548.049689
Mackenzie,NEXT_DOWN_mean,8070269519.229814
Mackenzie,NEXT_SINK_mean,8070009560.0
Mackenzie,MAIN_BAS_mean,8070009560.0
Mackenzie,DIST_SINK_mean,2321.991801242236
Mackenzie,DIST_MAIN_mean,2321.991801242236
Mackenzie,SUB_AREA_mean,2132.7001242236024
Mackenzie,UP_AREA_mean,93675.45602484471
Mackenzie,PFAF_ID_mean,8226158.904347826
Mackenzie,ENDO_mean,0.0
Mackenzie,COAST_mean,0.0
